created_at,entry_id,field1,field2,field3,field4,field5,latitude,longitude,elevation,status
2024-11-25T19:09:51+00:00,1,22,53,33.6746,1072,0,,,,
2024-11-25T19:10:08+00:00,2,22,53,33.6746,1264,0,,,,
2024-11-25T19:10:29+00:00,3,22,53,151.536,1280,0,,,,
2024-11-25T19:10:48+00:00,4,22,53,33.6746,1264,0,,,,
2024-11-25T19:11:08+00:00,5,22,53,33.6746,1184,0,,,,
2024-11-25T19:11:28+00:00,6,22,53,33.6746,1280,0,,,,
2024-11-25T19:11:48+00:00,7,22,53,16.8373,1232,0,,,,
2024-11-25T19:12:08+00:00,8,22,53,168.373,1152,0,,,,
2024-11-25T19:12:28+00:00,9,22,53,117.861,1200,0,,,,
2024-11-25T19:12:48+00:00,10,22,53,151.536,1216,0,,,,
2024-11-25T19:13:09+00:00,11,22,53,168.373,1280,0,,,,
2024-11-25T19:13:28+00:00,12,22,53,33.6746,1264,0,,,,
2024-11-25T19:13:48+00:00,13,22,53,185.21,1280,0,,,,
2024-11-25T19:14:08+00:00,14,22,53,33.6746,1232,0,,,,
2024-11-25T19:14:28+00:00,15,22,53,50.5118,1280,0,,,,
2024-11-25T19:14:48+00:00,16,22,53,168.373,1296,0,,,,
2024-11-25T19:15:08+00:00,17,23,70,168.373,1296,0,,,,
2024-11-25T19:15:28+00:00,18,27,99,151.536,1248,0,,,,
2024-11-25T19:15:48+00:00,19,25,79,168.373,1296,0,,,,
2024-11-25T19:16:08+00:00,20,24,74,151.536,1296,0,,,,
2024-11-25T19:16:28+00:00,21,24,68,168.373,1136,0,,,,
2024-11-25T19:16:49+00:00,22,24,61,151.536,31377,2,,,,
2024-11-25T19:17:08+00:00,23,24,57,185.21,30737,2,,,,
2024-11-25T19:17:28+00:00,24,24,57,151.536,29889,2,,,,
2024-11-25T19:17:48+00:00,25,24,55,168.373,29425,1,,,,
2024-11-25T19:18:08+00:00,26,24,54,168.373,29473,1,,,,
2024-11-25T19:18:28+00:00,27,23,54,185.21,29057,1,,,,
2024-11-25T19:18:48+00:00,28,23,53,168.373,28961,1,,,,
2024-11-25T19:19:08+00:00,29,23,53,168.373,28929,1,,,,
2024-11-25T19:19:29+00:00,30,23,53,185.21,29089,1,,,,
2024-11-25T19:19:48+00:00,31,23,53,168.373,28737,1,,,,
2024-11-25T19:20:08+00:00,32,23,53,168.373,28609,1,,,,
2024-11-25T19:20:28+00:00,33,23,53,168.373,28449,1,,,,
2024-11-25T19:20:48+00:00,34,23,53,168.373,28401,1,,,,
2024-11-25T19:21:08+00:00,35,23,53,168.373,28753,1,,,,
2024-11-25T19:21:28+00:00,36,23,53,168.373,28641,1,,,,
2024-11-25T19:21:48+00:00,37,23,53,168.373,28657,1,,,,
2024-11-25T19:22:08+00:00,38,23,53,168.373,28609,1,,,,
2024-11-25T19:22:29+00:00,39,23,53,168.373,28673,1,,,,
